,Title
416,Significant portion of HTTPS Web connections made by forged certificates | Ars Technica
417,Droid malware cloak outwits Google Bouncer and friends • The Register
418,"Google must remove links to personal material upon request, European court rules - The Verge"
419,FBI Seeks License To Hack Bot-Infected PCs
420,Spotty solar power management platform could crash the grid • The Register
421,"Iranian hacktivists move into hardcore hacking against West, dissidents • The Register"
422,Iranian Hackers Targeted Defense Workers and Political Dissidents - Recode
423,Dogevault praying backups work after confirming attack • The Register
424,"Such hack, much sad: Doge Vault reportedly loses $56,000 in heist | Ars Technica"
425,"Teen arrested for 30 “swatting” attacks against schools, security reporter | Ars Technica"
426,Canadian Law Enforcement Officers Arrest Canadian Resident Suspected in Series of ‘Swatting’ Incidents Throughout North America — FBI
427,Greenwald alleges NSA tampers with routers to plant backdoors • The Register
428,Glenn Greenwald: how the NSA tampers with US-made internet routers | US news | The Guardian
429,Al-Qaeda’s new homebrew crypto apps may make US intel-gathering easier | Ars Technica
430,Terrorist Group Al-Qaeda Uses New Encryption Softwares After NSA Revelations
431,"Former Subway sandwich franchisee cops to $40,000 gift-card hack scheme | Ars Technica"
432,NIST Proposes Guidelines For More Secure IT Systems - InformationWeek
433,Michelle Obama data breach: purported scan of first lady's passport appears online | US news | The Guardian
434,NSF Awards $15m for New Secure Internet Architecture | Threatpost | The first stop for security news
435,"Moving towards a more robust, secure and agile Internet | NSF - National Science Foundation"
436,NSF Future Internet Architecture Project
437,XIA - eXpressive Internet Architecture
438,IT'S WAR: Hacktivists throw in their lot with spies and the military • The Register
439,Why Sharing Your Security Secrets Is a Good Thing | WIRED
440,HP Acquires Voltage Security | CSO Online
441,Exclusive: Obama set to announce executive order on cybersecurity threat data
442,Yahoo announces on demand passwords so users 'never have to remember a password again' - Business Insider
443,Hackers using IE exploit against Australian businesses | ZDNet
444,"IoT devices entering enterprises, opening company networks to attacks - Help Net Security"
445,Hacking Linked to China Exposes Millions of U.S. Workers - The New York Times
446,"Average US business fields 10,000 security alerts per day, Damballa analysis finds | CSO Online"
447,"Anonymous' best pranks, hacks and protests - Computer Business Review"
448,FCC moves forward with net plan - LA Times
449,"Solar-powered Skylock smart bike lock offers security, sharing - CNET"
450,"Amazon, AT&T, Snapchat rated among the least trustworthy with data, EFF finds | PCWorld"
451,Google gets tougher on suspicious Google Apps logins - CNET
452,Google to slap two-factor across Apps via suspicious logins trigger | ZDNet
453,Internet Measurement Firm Renesys Bought By Dyn | CIO
454,Fortinet Invests In Enterprise Identity And Access Management Provider Centrify
455,Kaspersky warns of IMPOSTER mobile security apps • The Register
456,Cops crimp global perve-cam attacks • The Register
457,"FBI, Global Raids Underway Against ""Blackshades"" Hacking Ring | Time"
458,"REUTERS SUMMIT-FBI plans cyber crime crackdown, arrests coming in weeks"
459,U.S. Charges China With Cyber-Spying on American Firms - Recode
460,"Cisco CEO asks Obama to curtail surveillance, according to reports - The Washington Post"
461,China Warns Of Retaliation After US Hacking Charges - Business Insider
462,Everything you need to know about the alleged Chinese military hacker squad the U.S. just indicted - The Washington Post
463,"Hackers from GTISC Jailbreak iPhone 5s on iOS 7.1.1, Following Jailbreaks from Winocm and i0ni1c"
464,iOS 7.1.1 Jailbroken Untethered by i0n1c and winocm
465,Silverlight finally becomes popular ... with crims • The Register
466,"Malvertising Redirecting to Angler EK, Silverlight Exploits | Threatpost | The first stop for security news"
467,Angling for Silverlight Exploits
468,ID theft protector LifeLock deletes user data over concerns that app isn’t safe | Ars Technica
469,China Bans Windows 8 On New Government Computers
470,Facebook CSRF Tokens in Heavy Rotation to Ward off BREACH | Threatpost | The first stop for security news
471,"Public utility compromised after brute-force hack attack, says Homeland Security | PCWorld"
472,"U.S. utility's control system was hacked, says Homeland Security"
473,One of world’s more pricey trojans is veritable Swiss Army knife for Android | Ars Technica
474,Woolworths' Self-Inflicted Breach A Clear Example ...
475,AT&T Hacker Wants Government to Pay Him $13 Million | CIO
476,Study: 97% of companies using network defenses get hacked anyway | Ars Technica
477,All U.S. United Flights Grounded Over Mysterious Problem | WIRED
478,Press Releases
479,UK and Israel join together for cyber security research | CSO Online
480,US giant NBC 'leaks' PRIVATE Amazon keys in Github Glenn gaffe • The Register
481,"Hackers Hit Ebay Database Containing Personal Info, Users Asked to Change Passwords | CIO"
482,eBay asks 145 million users to change passwords after data breach - The Washington Post
483,"If eBay Was Breached, What About PayPal? - Digits - WSJ"
484,PayPal Manager bug left web stores open to cyber-burglars • The Register
485,Chip and PIN EMV Protocol security vulnerabilities found | Threatpost | The first stop for security news
486,Vendor error forces Lowe's to issue breach notification letters | CSO Online
487,Google-released Chrome extension allows easy in-browser Webmail encryption | Ars Technica
488,DARPA crazytech crew want to create HUMAN-FREE cyber defence systems • The Register
489,Microsoft Ventures opens first cybersecurity accelerator | ZDNet
490,Microsoft opens cybersecurity accelerator in Israel | Startups | Techworld
491,Another Internet Explorer Zero Day Surfaces | Threatpost | The first stop for security news
492,Apple iCloud and Activation Lock Hacked; Allows Hackers to Unlock Stolen Devices
493,Telegram DDoS Attack - Messaging App Suffers 200GBps Pounding
494,Facebook Offering Free Anti-Malware Software to Infected Users
495,Filipino hackers wage cyberwar on Chinese Web sites - The Washington Post
496,"Nest recalls 440,000 Nest Protect smoke detectors over safety risk - The Verge"
497,Cisco to Acquire Malware Prevention Company | CIO
498,Better safe than sorry: SourceForge pushes password reset • The Register
499,Man-in-the-middle attack on Vizio TVs coughs up owners’ viewing habits | Ars Technica
500,"Pirates, Ships, And A Hacked CMS: Inside Verizon's ..."
501,Yahoo’s CISO resigned in 2015 over secret e-mail search tool ordered by feds | Ars Technica
502,A wireless network for gadgets set to arrive in San Francisco | Computerworld
503,"Silicon Valley to Get a Cellular Network, Just for Things - MIT Technology Review"
504,China responds to NSA tampering with network gear vetting process | Ars Technica
505,"Android Outlook App Could Expose Emails, Attachments | Threatpost | The first stop for security news"
506,Include Security Blog | As the ROT13 turns….: Mobile App Data Privacy - the Outlook.com Example
507,DDoS attacks using SNMP amplification on the rise | PCWorld
508,Researchers find large global botnet of infected PoS systems | CSO Online
509,AV Firm Avast Shuts Online Forum After Hack Attack - Infosecurity Magazine
510,"Your car is a giant computer - and it can be hacked - Jun. 1, 2014"
511,WWDC: Three awesome new Apple features that also protect your privacy - The Washington Post
512,128-bit crypto scheme allegedly cracked in two hours • The Register
513,EPFL researchers crack unassailable encryption algorithm in two hours
514,Congress divorces NIST and NSA • The Register
515,House Committee Puts NSA on Notice Over Encryption… — ProPublica
516,Alcatel-Lucent enters talks to sell cybersecurity division to Thales | FierceTelecom
517,Security Overview | Thales Group
518,China ponders ban on IBM servers • The Register
519,Home: Apple unveils its smarthome program at WWDC 2014 | Technology | The Guardian
520,"US may block visas for Chinese hackers attending DefCon, Black Hat | Ars Technica"
521,Cisco aims to prepare tech workers for SDN-driven skills shift | FierceWireless
522,This 25-Year-Old Vietnamese Man Stole the Identities of Nearly 200 Million Americans
523,Vietnamese National Sentenced to 13 Years in Prison for Operating a Massive International Hacking and Identity Theft Scheme | OPA | Department of Justice
524,Spotify says one user’s data accessed in breach - The Washington Post
525,Spotify Android Application at Issue in Breach | Threatpost | The first stop for security news
526,Wicked hybrid of Zeus and Carberp malware unleashed to the wild | CSO Online
527,LulzSec Hacker Sabu Sentenced to Time Served | Threatpost | The first stop for security news
528,"iPhones can auto-connect to rogue Wi-Fi networks, researchers warn | Ars Technica"
529,Wi-Fi rides to wireless networks' rescue - CNET
530,"Critical new bug in crypto library leaves Linux, apps open to drive-by attacks | Ars Technica"
531,Skype shown automatically translating multilingual voice calls - The Verge
532,"Microsoft's Skype ""Star Trek"" Language Translator Takes on Tower of Babel - Recode"
533,Data brokers collect info on nearly every U.S. consumer - Help Net Security
534,Brokers use ‘billions’ of data points to profile Americans - The Washington Post
535,FTC Recommends Congress Require the Data Broker Industry to be More Transparent and Give Consumers Greater Control Over Their Personal Information | Federal Trade Commission
536,FTC to Study Data Broker Industry's Collection and Use of Consumer Data | Federal Trade Commission
537,F5 Networks Pounces on Fledgling Anti-DDoS Startup Defense.net | CIO
538,Remotely Exploitable Flaws Haunt Lawful Intercept Surveillance Gear | Threatpost | The first stop for security news
539,Spy platform zero day exposes cops' wiretapped calls • The Register
540,Root backdoor found in surveillance gear used by law enforcement | Ars Technica
541,CryptoDefense ransom malware using Java drive-by exploit to boost infection rate | CSO Online
542,Iran link to social media spying on military leaders - BBC News
543,Iranian Group Created Fake News Organization As Part of Hacking Campaign | CIO
544,"TrueCrypt considered HARMFUL – downloads, website meddled to warn: 'It's not secure' • The Register"
545,Is this the end of popular encryption tool TrueCrypt? - The Washington Post
546,"TrueCrypt Warns Software 'Not Secure,' Development Shut Down | Threatpost | The first stop for security news"
547,IBM patents fraudster detection technology for websites and apps | CSO Online
548,Third of US banks OK with passwords even social networks reject • The Register
549,"Snooping, RAT-flinging, hack-happy crew targeting governments worldwide – researchers • The Register"
550,Criminals seeking more buyers with all-in-one malware | CSO Online
551,Google will now name and shame e-mail providers that don’t support encryption - The Washington Post
552,LG adds 'kill-switch' security feature to G3 - CNET
553,Google launches hacker game to train bug 'mercenaries' • The Register
554,Dish Network Says It Will Accept Bitcoin - The New York Times
555,These researchers have discovered the perfect password that’s also easy to remember - The Washington Post
556,Artemis Makes Tiny Internet Cells to Dodge Interference (Video) - Recode
557,"McAfee writes about Operation Tovar, taking a swipe at CryptoLocker and Gameover Zeus - 404 Tech Support"
558,"‘Operation Tovar’ Targets ‘Gameover’ ZeuS Botnet, CryptoLocker Scourge — Krebs on Security"
559,World’s biggest cyber crime gang thwarted by police – Channel 4 News
560,International action against 'Gameover Zeus' botnet and 'CryptoLocker' ransomware | Europol
561,The U.S. state of cybercrime takes another step back | CSO Online
562,University researchers test cyber-defense for nation's power grid | CSO Online
563,"Las Vegas Review-Journal – The most reliable source for Las Vegas news, breaking news"
564,International Law Enforcement Sinkhole GameOver Zeus and CryptoLocker Botnets - Infosecurity Magazine
565,Law enforcement agencies disrupt Gameover Zeus botnet | CSO Online
566,U.S. Leads Global Effort to Disrupt Cyber Crime Ring - Recode
567,Hacktivist Warns World Cup Sponsors Anonymous DDoS Attack is Coming - Infosecurity Magazine
568,Why did Microsoft choose to put its cybersecurity accelerator in Israel? | Startups | Techworld
569,New software nasty encrypts Android PHONE files and demands a ransom • The Register
570,ESET analyzes Simplocker Android malware
571,"China state media calls for 'severe punishment' for Google, Apple, U.S. tech firms"
572,"South Korean databases hacked, says US general | World news | The Guardian"
573,"Samsung Talks Tizen, 'OS Of Everything' - InformationWeek"
574,Samsung's Tizen Phone is Like the Galaxy S5 and That's a Good Thing
575,Security pros and cons of Apple's latest operating systems | CSO Online
576,Samsung Shows Off First Tizen-Powered Smart TV - Recode
577,Comcast Plans to Encrypt Email Exchanged with Google's Gmail | CIO
578,TrueCrypt hooked to life support in Switzerland: 'It must not die' say pair • The Register
579,"CryptoLocker ransomware infections collapse after Gameover takedown, researchers estimate | CSO Online"
580,CONFIRMED: Sophos shifting threat response work to India • The Register
581,EU says firms like Google and Facebook must meet privacy rules
582,WordPress to Deploy SSL on All its Sites by End of 2014 | Threatpost | The first stop for security news
583,Cyberattack Insurance a Challenge for Business - The New York Times
584,"U.S. Says It Spied on 89,000 Targets Last Year, But the Number Is Deceptive | WIRED"
585,AT&T wants to improve payment card fraud prevention with phone geolocation | CSO Online
586,When you should opt-out of carrier-provided location services | CSO Online
587,Vodafone reveals existence of secret wires that allow state surveillance | Business | The Guardian
588,Major Computer Hacking Forum Dismantled | OPA | Department of Justice
589,Can You Guess How Much a Russian DDoSer Makes per Day?
590,College hackers compete to shine spotlight on cybersecurity
591,Linux gets fix for flaw that threatens security of shared Web hosts | Ars Technica
592,Dan Farmer Presents Research on IPMI Vulnerabilities | Threatpost | The first stop for security news
593,Protecting code's secrets wins ACM prize • The Register
594,What to avoid in Dropbox-related phishing attack | CSO Online
595,"An inside look at Dropbox phishing: Cryptowall, Bitcoins, and You (updated) - PhishMe"
596,"Redmond is patching Windows 8 but NOT Windows 7, say security bods • The Register"
597,Upsurge In Hacking Makes Customer Data 'Toxic' To Retailers - Business Insider
598,"New iOS 7 lock screen flaw opens up iPhones, iPads in seconds | ZDNet"
599,How Apple’s new software makes it harder for retailers to track your movements - The Washington Post
600,iOS 8 Will Randomize MAC Addresses to Help Stop Tracking | Threatpost | The first stop for security news
601,New Apple iOS to help fanbois thwart Wi-Fi network spies • The Register
602,"Chinese cyberspies targeting U.S, European defense, space sectors | CSO Online"
603,Chinese military tied to prolific hacking group targeting US aerospace industry | Ars Technica
604,"Facebook, Google, AT&T back Apple in FBI fight"
605,Red Button Attack Could Compromise Smart TVs | Threatpost | The first stop for security news
606,"Boob Tube BOFFINS finger Red Button, trigger TELLY MAYHEM • The Register"
607,"Organized cyber crooks plunder SMBs with simple, cheap keyloggers - Help Net Security"
608,ICS-CERT Alert on Easily Hackable Road Signs | Threatpost | The first stop for security news
609,Three more firms hit by targeted Phishing attacks seeking W2 data | CSO Online
610,cloudera strengthens hadoop security with acquisition of gazzang
611,Hackers use weak passwords just like everyone else - The Verge
612,The FCC Was Hacked After John Oliver Called for Net Neutrality Trolls - Motherboard
613,Feedly hit with DDoS after refusing to pay ransom | Alphr
614,Feedly hits third day of downtime as DDoS attacks continue | TheINQUIRER
615,"Feedly Suffers DDoS Attack, Attacker Wants Money"
616,Evernote struck down by DDoS attack for several hours | ZDNet
617,Banks: Credit Card Breach at P.F. Chang’s — Krebs on Security
618,Web giants encrypt their services—but leaks remain | Ars Technica
619,BofE unveils cyber-security framework
620,Bank of England plans to shove cyber-microscope up nation's bankers • The Register
621,Bank of England Launches Cyber Framework - BankInfoSecurity
622,The FCC wants to help businesses prepare for cyber attacks - The Verge
623,Russian Hackers Behind 'Oleg Pliss' iPhone Ransom Scam in Australia Arrested
624,Alleged Oleg Pliss iPhone Hackers Arrested in Russia | Threatpost | The first stop for security news
625,Fresh Wave of Online Extortion Attacks Underway - The Akamai Blog
626,AWS breaks silence over Truecrypt's role in data import/export • The Register
627,Tweetdeck taken down after major security bug found - The Washington Post
628,"Meet the guy who just broke TweetDeck - Jun. 11, 2014"
629,Gmail Bug Could Have Exposed Every User’s Address | WIRED
630,Subscribe to read
631,Israel develops wireless-malware-injection-by-smartmobe tool • The Register
632,"Warrantless cellphone location tracking is illegal, US circuit court rules - The Verge"
633,"Cops Can't Collect Your Cell Tower Data Without a Warrant, Court Rules | WIRED"
634,FCC unveils ‘new regulatory paradigm’ for defeating hackers - The Washington Post
635,U.S. telecom chief tells industry to lead on cybersecurity
636,New Data Shows FBI Issued More Than 19k National Security Letters in 2013 | Threatpost | The first stop for security news
637,"Amid Ferguson protests, hacker collective Anonymous wages cyberwar - The Washington Post"
638,Cybersecurity Framework | NIST
639,AT&T Mobility data breach | CSO Online
640,AT&T says customer data accessed to unlock smartphones | InfoWorld
641,AT&T breach allowed customer data to be used to unlock smartphones | Computerworld
642,P.F. Chang’s Confirms Credit Card Breach — Krebs on Security
643,Restaurant chain uses CARBON PAPER to fight credit card hack • The Register
644,PF Chang's China Bistro Confirms Credit and Debit Card Breach
645,Entirely new trojan quietly wheeled into black hat forums • The Register
646,As Many as 97% of FTSE 250 Cos Don't Use DMARC Standard - Infosecurity Magazine
647,AT&T confirms data breach as hackers hunted for codes to unlock phones | FierceWireless
648,Banking malware using Windows to block anti-malware apps | Ars Technica
649,"Windows Security Feature Abused, Blocks Security Software - TrendLabs Security Intelligence Blog"
650,Hacker claims PayPal loophole generates FREE MONEY • The Register
651,Facebook Set to Let Users Edit Own Advertising Info | Threatpost | The first stop for security news
652,"Facebook to show ads based on your browsing history, but let you change them - The Verge"
653,"First Mac-targeting ransomware hits Transmission users, researchers say | Ars Technica"
654,There's a new way to stop the web's worst hacker bullies - The Verge
655,Mozilla to Bring Low-Cost Firefox Smartphones to India and Indonesia
656,Mobile 'net neutrality' faces new day of reckoning at FCC
657,The Net Neutrality Battle May Be Headed To Your Phone | HuffPost
658,FCC steps in to investigate Netflix/ISP squabbles | Digital Trends
659,Chairman Statement on Broadband Consumers and Internet Congestion | Federal Communications Commission
660,Does iOS malware actually exist? | ZDNet
661,Domino’s Pizza held hostage by hackers: Customers' eating habits at stake | ITProPortal
662,"Pinterest Hacked, Results In Massive Spam Effort | Ubergizmo"
663,UglyGorilla Hack of U.S. Utility Exposes Cyberwar Threat - Bloomberg
664,Pinterest Hacked With Weight Loss Spam
665,Target top security officer reporting to CIO seen as a mistake | CSO Online
666,Former Microsoft employee gets 3 months in jail for leaking Windows 8 secrets | Ars Technica
667,Give us a slice or we BLURT all your users' topping preferences to the WORLD • The Register
668,Carriers’ tight grip on cellphone unlocking seems to have resulted in a cyberattack - The Washington Post
669,Mac ransomware caught before large number of computers infected
670,"AT&T confirms security breach: SS numbers, call records compromised : TECH : Tech Times"
671,"AT&T Phone Records, Social Security Numbers Hacked - Recode"
672,Target: Our register glitch was not caused by a cyberattack - The Washington Post
673,Level 3 to Buy TW Telecom for $5.7 Billion - The New York Times
674,Level 3 Agrees to Buy TW Telecom in $5.7 Billion Deal - Bloomberg
675,Alert Issued Over Plain Text Passwords in Some Super Micro Motherboards | CIO
676,Google Expects to Offer Loon-Based Internet Service Next Year - Recode
677,Google buys satellite specialist; but for connectivity or cars? | Telecoms.com
678,One User Controls Over Half of Bitcoin Mining—and That's a Security Risk
679,Verizon Wireless to pay $1.35 million fine to settle U.S. privacy probe
680,Bitcoin security guarantee shattered by anonymous miner with 51% network power | Ars Technica
681,Feds set to auction off $18 million worth of Silk Road bitcoins - The Washington Post
682,U.S. Marshals Auctioning Off Seized Silk Road Bitcoins | Threatpost | The first stop for security news
683,Judge: Lawsuit over LinkedIn's repeated invitation spam can proceed | PCWorld
684,AT&T Insider Data Breach More Dangerous Than External Hacking
685,Six ways to prevent a breach like the one at AT&T | CSO Online
686,Android Root Access Vulnerability Affecting Most Devices | Threatpost | The first stop for security news
687,Undergrad breaks Android crypto ransomware | Ars Technica
688,"At least 32,000 servers broadcast admin passwords in the clear, advisory warns | Ars Technica"
689,"'You've been hacked, pay up' ... Ransomware forces your PC to read out a hostage note • The Register"
690,P.F. Chang’s Breach Likely Began in Sept. 2013 — Krebs on Security
691,Simplocker Gets Decrypted
692,Student promises Java key to unlock Simplocker ransomware • The Register
693,UK Student Develops Antidote for First Android File-encrypting Ransomware | CIO
694,FTC seeks DEFCON help to finger illegal robocallers • The Register
695,Asprox Attackers Combine Mass Mailer Strike with APT Techniques - Infosecurity Magazine
696,Another RAT crawls out of the malware drain • The Register
697,New powerful banking malware called Dyreza emerges | CSO Online
698,Done with Israel? Anonymous threatens to hack Gulf oil companies over use of US dollars | Al Bawaba
699,SafetyFirst FTP server compromised exposing customer data | CSO Online
700,The Cerber Ransomware not only Encrypts Your Data But Also Speaks to You
701,Google Buys Alpental to Gain Fast Wireless Technology - Digits - WSJ
702,"Google buys MDialog, Alpental Technologies - SFGate"
703,Oracle looks to boost growth with biggest deal in five years
704,Nokia 'paid millions to software blackmailers six years ago'
705,GCHQ to share threat intel – and declassify SECRET inventions • The Register
706,Hacker Puts Hosting Service Code Spaces Out of Business | Threatpost | The first stop for security news
707,Code Spaces forced to close its doors after security incident | CSO Online
708,AWS console breach leads to demise of service with “proven” backup plan | Ars Technica
709,Tunisian Hacktivists Threaten the United States – Video
710,Facebook website returns to service after crash
711,Why businesses should use caution with HTML5-based mobile apps | CSO Online
712,Slow rollout of SSL places users of LinkedIn at risk research says | CSO Online
713,Facebook Extends Open Compute Model with New Network Switch
714,Many Verizon DSL and AT&T customers not getting speeds they pay for | Ars Technica
715,Measuring Broadband America - 2014 | Federal Communications Commission
716,Google will be forced to make a company disappear - The Verge
717,"Google and Facebook can be legally intercepted, says UK spy boss - BBC News"
718,CloudFlare slurps CryptoSeal • The Register
719,"First Lavabit, now CryptoSeal pulls the plug: VPN service axed • The Register"
720,Red Hat bets $95 million on OpenStack dominance | InfoWorld
721,Red Hat buys OpenStack integrator eNovance to boost skills base | The Stack
722,Google Play store reportedly removes ISIS app | Fox News
723,"iafrica.com Yeah, we messed up - Facebook"
724,"32,000 motherboards spit passwords in CLEARTEXT! • The Register"
725,Hackers reverse-engineer NSA spy kit using off-the-shelf parts • The Register
726,Hacker Exploits NAS Vulns to Mine $620K in Dogecoin | Threatpost | The first stop for security news
727,"Oil Co. Wins $350,000 Cyberheist Settlement — Krebs on Security"
728,Chinese seller of signal 'jammers' faces $35 million U.S. fine
729,FCC issues largest fine in history to company selling signal jammers - The Verge
730,Huawei Expands in Russian Tech Services After Putin’s China Deal - Bloomberg
731,Selfmite Worms its Way Onto Victims’ Phones - Infosecurity Magazine
732,Selfmite: Attack using SMS worm to increase pay-per-install income | Mobile Security News | AdaptiveMobile
733,House Has Passed an Amendment to Cut NSA Search Funding
734,House Votes To Cut Key Pursestrings For NSA Surveillance | WIRED
735,U.S. lawmakers introduce bill to ban 'paid prioritization' of web traffic
736,Surprise Android 'KitKat' update fixes nasty OpenSSL vuln • The Register
737,“Free” Wi-Fi from Xfinity and AT&T also frees you to be hacked | Ars Technica
738,Hackers steal trade secrets from major US hedge firm • The Register
739,Andreessen Horowitz Pumps $90 Million Into IT Startup Tanium; Sinofsky Joins Board - Recode
740,Is That Site Secure? Look for the .Trust Domain | News & Opinion | PCMag.com
741,Google considering investment in new subsea cable - WSJ
742,Syrian Electronic Army targets Reuters again—but ad network provided the leak | Ars Technica
743,SEA hacks Reuters website widget DESPITE 2FA security • The Register
744,'Most sophisticated DDoS' ever strikes Hong Kong democracy poll • The Register
745,"Medtronic says was victim of cyber attack, lost patient records"
746,Google unveils independent “fork” of OpenSSL called “BoringSSL” | Ars Technica
747,Cisco open-sources experimental cipher • The Register
748,Risk of DDoS Amplification Attacks on NTP Servers Declines
749,Dramatic Drop in Vulnerable NTP Servers Used in DDoS Attacks | Threatpost | The first stop for security news
750,How governments devise custom “implants” to bug smartphones | Ars Technica
751,"CIA Information Chief Talks Cloud Computing, Culture Clash at Amazon Event - Recode"
752,"Improperly anonymized taxi logs reveal drivers' identity, movements - Help Net Security"
753,Montana loses data on MORE PEOPLE THAN LIVE IN MONTANA • The Register
754,Own goal as World Cup Wi-Fi passwords spilled in newspaper snap • The Register
755,"We Were Lucky to Get Hacked, Yo Founder Says - Digits - WSJ"
756,Yo founder apologises for hack – and hires one of his hackers | Technology | The Guardian
757,Researchers Use Big Data to Get Around Encryption - Digits - WSJ
758,Ex-NSA Chief Pitches Banks Costly Advice on Cyber-Attacks - Bloomberg
759,Hacking Team’s Tradecraft and Android Implant
760,HackingTeam 2.0: The Story Goes Mobile - Securelist
761,Attackers fling Stuxnet-style RATs at critical control software in EUROPE • The Register
762,PayPal 2FA mobe flaw chills 'warm and fuzzy' security feeling • The Register
763,PayPal error shows how NOT to use two-factor authentication | CSO Online
764,Flaw Lets Attackers Bypass PayPal Two-Factor Authentication | Threatpost | The first stop for security news
765,"Long Island radiology practice NRAD informs 97,000 patients of data breach | Newsday"
766,Riverside County Regional Medical Center suffers data breach | CSO Online
767,U.S. will allow EU citizens to sue over data privacy
768,Patched Code-Execution Bug Affects Most Android Users | Threatpost | The first stop for security news
769,"IBM, Lenovo server deal in limbo over security worries: WSJ"
770,Cloud app logins reused in piracy scam
771,Between the Lines of the Cellphone Privacy Ruling - The New York Times
772,"Google pries open YOUR mailbox, invites developer partners • The Register"
773,Libraries in Chicago and New York will soon let people check out Wi-Fi hotspots - The Verge
774,Two Of The Nation's Largest Library Systems Will Start Lending Wi-Fi | HuffPost
775,New York City Airports to Offer Free Wi-Fi
776,German government cancels Verizon contract in wake of U.S. spying row
777,Google Android 4.3 Key Store KeyStore::getKeyForName memory corruption
778,Android KeyStore Stack Buffer Overflow
779,US Oil & Gas Industry Establishes Information Sharing Center - Infosecurity Magazine
780,Facebook fights US court on overzealous search wararnts - The Verge
781,"Forced to Hand Over Data, Facebook Files Appeal - The New York Times"
782,"Send Bitcoin or we'll hate-spam you on Yelp, say crims • The Register"
783,Hackers found controlling malware and botnets from the cloud | CSO Online
784,PlugX RAT With “Time Bomb” Abuses Dropbox for Command-and-Control Settings - TrendLabs Security Intelligence Blog
785,Warning signs corporate computers could be talking to cloud-based malware | CSO Online
786,20-Year Old Vulnerability Patched in Compression Algorithm | Threatpost | The first stop for security news
787,"What is ex-NSA spyboss selling for $1m a month, asks US congressman • The Register"
788,Half of All Network Devices Are Outdated – And Vulnerable - Infosecurity Magazine
789,China cyber crime cooperation stalls after U.S. hacking charges
790,"Microsoft Kills Security Emails, Blames Canada — Krebs on Security"
791,Microsoft to shutter security email feed on July 1 • The Register
792,Verizon Wireless Billing System Up and Running Again - Recode
793,Verizon Wireless Experiences Billing Outage - Recode
794,"Airport breach a sign for IT industry to think security, not money | CSO Online"
795,Dropbox used as command and control for Taiwan time bomb • The Register
796,Surprise! NSA's first ever 'transparency' 'report' is anything but • The Register
797,Chicago will begin monitoring cellphone signals to track where people are walking - The Verge
798,Microsoft's anti-malware crusade knackers '4 MILLION' No-IP users • The Register
799,Millions of dynamic DNS users suffer after Microsoft seizes No-IP domains | Ars Technica
800,Microsoft says No-IP accounts massacre was a technical error | TheINQUIRER
801,163k individuals affected in Butler Uni data breach - Help Net Security
802,Google Patches Shared Links Vulnerability in Drive | Threatpost | The first stop for security news
803,"MS14-045: Description of the security update for kernel-mode drivers: August 12, 2014"
804,Microsoft to End Email Security Notifications | Threatpost | The first stop for security news
805,Submitted Breach Notification Sample | State of California - Department of Justice - Office of the Attorney General
806,Application delivery controllers tighten the security perimeter • The Register
807,Targeted String of Paerls Campaign Includes Word Macro Attack | Threatpost | The first stop for security news
808,Russian Hackers Release Email Phishing Campaign Against Pentagon: The Daily Beast
809,U.S. Accuses T-Mobile of Overbilling - The New York Times
810,Redmond's EMET defense tool disabled by exploit torpedo • The Register
811,Disarming Enhanced Mitigation Experience Toolkit (EMET)
812,Geodo infostealer gets help from worm - Help Net Security
813,"Microsoft issues mea culpa to No-IP, but service reportedly remains down for many | Ars Technica"
814,"Microsoft admits technical error in IP takeover, but No-IP still down | ITworld"
815,Latest Microsoft Malware Takedown Causes Waves in Security Community | Threatpost | The first stop for security news
816,New malware program hooks into networking APIs to steal banking data | CSO Online
817,Ideas for defending against cyberespionage | CSO Online
818,Gigaom | Catbird gets $2M from new VC fund founded by ex-Terremark CEO
819,FireEye Uncovers Android Remote Access Malware | Threatpost | The first stop for security news
820,New Android Malware 'HijackRAT' Attacks Mobile Banking Users
821,Android Malware Paves Way for Serious Banking Threat - Infosecurity Magazine
822,Android HijackRAT poised to hit mobile banking users - Help Net Security
823,Running Cisco's VoIP manager? Four words you don't want to hear: 'Backdoor SSH root key' • The Register
824,"Microsoft expands the use of encryption on Outlook, OneDrive | Ars Technica"
825,How Russian Hackers Stole the Nasdaq - Bloomberg
826,OpenSSL Project publishes roadmap to counter criticism | CSO Online
827,Internet and email providers step up to join legal complaint against UK spy agency - The Verge
828,ISPs Team Up to Fire Legal Complaint at GCHQ Hackers - Infosecurity Magazine
829,Brazilian baddies bank Boleto billions • The Register
830,Brazilian ‘Boleto’ Bandits Bilk Billions — Krebs on Security
831,Hackers hit more businesses through remote access accounts | CSO Online
832,Why the reseller ISS hack justifies third-party risk assessments | CSO Online
833,BAE retracts hedge fund hack allegation • The Register
834,Venture capitalist Draper wins U.S. bitcoin auction
835,Coinbase is Latest Bitcoin Startup to Realize Security Sells - Recode
836,Hackers threaten to leak data of 37 million clients of cheating website
837,How elite hackers (almost) stole the NASDAQ | Ars Technica
838,Mavenir | Home
839,Future Apple gumble could lock fanbois out of their own devices • The Register
840,Apple invention changes iPhone user authentication settings based on location
841,"Miniduke APT Campaigh Returns with New Targets, Hacking Tools | Threatpost | The first stop for security news"
